name,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
charco redondo,36.2322004530001,-5.54416164299994,cuencas mediterraneas andaluzas,rio canas o palmones,,,https://www.wikidata.org/wiki/Q5830606,cadiz,andalucia,presa materiales sueltos zonificada o nucleo,107.2,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1939
puebla cazalla,37.1297715490001,-5.24330867699996,guadalquivir,rio  corbones,,,,sevilla,andalucia,presa fabrica gravedad (hormigon compactado),218.25,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1773
uzquiza,42.304453472,-3.36854357999994,duero,rio arlanzon,,,,burgos,castilla y leon,presa materiales sueltos homogenea,932.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=259
azutan,39.7779346240001,-5.08911715899995,tajo,rio tajo,,,https://www.wikidata.org/wiki/Q81418400,toledo,castilla   mancha,presa fabrica contrafuertes,412.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=885
conde guadalhorce,36.9333016160001,-4.80374890499996,cuencas mediterraneas andaluzas,rio turon,,,,malaga,andalucia,presa fabrica mamposteria,250.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1988
guadarranque,36.3087665890001,-5.46145982799993,cuencas mediterraneas andaluzas,rio guadarranque,,,https://www.wikidata.org/wiki/Q5369445,cadiz,andalucia,presa materiales sueltos zonificada o nucleo,107.2,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1942
manzanares real,40.7068520460001,-3.81876584399993,tajo,rio manzanares,,,,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),632.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=781
compuerto,42.860854868,-4.82693537899996,duero,rio carrion,https://www.google.com/search?kgmid=/g/122z2cqz,,https://www.wikidata.org/wiki/Q8775311,palencia,castilla y leon,presa fabrica gravedad (hormigon vibrado),495.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=349
bermejales,36.996064807,-3.89363361899996,guadalquivir,rio  cacin,,,https://www.wikidata.org/wiki/Q579709,granada,andalucia,presa fabrica gravedad (hormigon vibrado),426.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1526
castro cogotas,40.7245279160001,-4.69718935299994,duero,rio adaja,,,,avila,castilla y leon,presa fabrica boveda,1088.09999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=223
cala,37.7222268940001,-6.08896625199998,guadalquivir,rivera cala,,,,sevilla,andalucia,presa fabrica gravedad (hormigon vibrado),143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1688
piedras,37.366812629,-7.26645658799993,tinto  odiel y piedras,rio piedras,,,,huelva,andalucia,presa materiales sueltos pantalla hormigon,10.34,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1296
retortillo,37.8413896820001,-5.34934339699993,guadalquivir,rio  retortillo,,,https://www.wikidata.org/wiki/Q5369454,sevilla,andalucia,presa fabrica gravedad (hormigon vibrado),97.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1469
concepcion,36.535398366,-4.96075456799997,cuencas mediterraneas andaluzas,rio verde,,,,malaga,andalucia,presa fabrica gravedad (hormigon vibrado),107.2,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1984
torre aguila,37.042369367,-5.75897830099996,guadalquivir,arroyo  salado moron,,,,sevilla,andalucia,presa materiales sueltos zonificada o nucleo,10.34,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1781
