id,scope,name,capacity,electric_flag
514,guadalquivir,quiebrajano,33,0
518,guadalquivir,tranco beas,506,0
522,guadiana,vega jabalon,34,0
523,tinto. odiel y piedras,corumbel bajo,19,0
524,tinto. odiel y piedras,machos,12,0
525,tinto. odiel y piedras,olivargas,29,0
528,duero,casares arbas,37,0
529,duero,serones,6,0
530,tajo,acena,24,0
532,tajo,belena,53,0
533,tajo,castro,8,0
534,tajo,navamuno,14,0
536,tajo,vellon (pedrezuela),41,0
539,segura,valdeinfierno,14,0
540,jucar,benageber,228,0
541,jucar,beniarres,30,0
542,jucar,naranjero,29,0
544,jucar,muela,29,1
545,jucar,toba,11,1
546,jucar,sichar,49,0
547,jucar,maria cristina,20,0
549,ebro,escales,152,1
550,ebro,enciso,46,1
551,ebro,itoiz,417,0
552,galicia costa,fervenza,104,1
553,galicia costa,ribeira  a,33,1
554,cuencas internas cataluna,sau,169,0
555,galicia costa,riocobo,6,0
556,ebro,val,24,0
560,cantabrico occidental,tanes,38,0
562,guadalquivir,aguascebas,6,0
564,guadalquivir,guadalen,168,0
569,cuenca mediterranea andaluza,guadalteba,312,0
570,cuenca mediterranea andaluza,cuevas almanzora,168,0
571,guadalete barbate,celemin,45,0
576,guadiana,gargaligas,21,0
577,guadiana,molinos matachel,34,0
579,mino   sil,peares,182,1
580,mino   sil,san pedro,6,1
584,duero,villalcampo,66,1
586,tajo,gabriel y galan,924,0
588,tajo,jarosa,7,0
589,tajo,pardo,45,0
590,tajo,puentes viejas,53,0
591,tajo,torrejon (tajo   tietar),188,1
593,segura,algeciras  rambla,45,0
596,jucar,arquillo san blas,22,0
598,jucar,escalona,99,0
600,ebro,alloz,84,0
601,ebro,caspe,82,0
602,ebro,canon santolea,82,0
604,ebro,parras (las),5,0
605,ebro,urrunaga,72,1
606,cuencas internas cataluna,llosa cavall,80,0
610,ebro,sistema escarra,5,1
611,ebro,torcas,7,0
612,cantabrico occidental,doiras,119,1
615,guadalquivir,agrio,40,0
618,guadalquivir,iznajar,981,0
623,guadalete barbate,arcos,14,0
624,guadalete barbate,bornos,204,0
626,guadiana,horno tejero,24,0
627,guadiana,gasset,42,0
628,guadiana,orellana,824,0
630,guadiana,torre abraham,183,0
631,mino   sil,matalavilla,65,1
632,mino   sil,prada,122,1
638,duero,riano,664,0
639,duero,villagonzalo,6,0
640,duero,valparaiso,169,1
641,tajo,alcorlo,180,0
644,tajo,navalcan,34,0
645,tajo,tajera,70,0
646,jucar,alarcon,1118,0
649,ebro,alcaniz (estanca),7,0
650,ebro,maidevera,21,0
653,cuencas internas cataluna,susqueda,233,0
654,galicia costa,barrie maza,31,1
656,galicia costa,eiras,22,0
657,ebro,tremp o talarn,227,1
658,guadalquivir,colomera,42,0
659,guadalquivir,gergal,36,0
660,guadalquivir,minilla,60,0
665,guadalquivir,yeguas,229,0
669,guadiana,cornalbo,11,0
670,guadiana,cijara,1505,0
672,guadiana,colada,58,0
673,guadiana,nogales,18,0
674,guadiana,proserpina,5,0
676,mino   sil,san sebastian,46,1
677,duero,juan benet,318,0
678,duero,saucelle,181,1
679,duero,santa teresa,496,0
680,tajo,almoguera,7,1
681,tajo,guajaraz,18,0
683,segura,cenajo,472,0
685,jucar,tous,379,0
687,ebro,mediano,436,0
688,ebro,lechago,18,0
690,ebro,ribarroja,210,1
695,guadalquivir,guadalmellato,162,0
704,cuenca mediterranea andaluza,casasola,23,0
714,tinto. odiel y piedras,odiel,8,0
715,mino   sil,bao,238,1
716,mino   sil,san  estevo,213,1
719,duero,compuerto,95,0
721,duero,requejada,66,0
722,tajo,borbollon,88,0
724,tajo,cazalegas,11,0
725,tajo,castrejon,44,1
727,tajo,cedillo,260,1
729,tajo,riosequillo,50,0
730,tajo,portaje,23,0
731,tajo,torcon,7,0
733,jucar,algar,6,0
734,jucar,amadorio,16,0
735,jucar,bellus,69,0
739,ebro,laverne,38,0
741,ebro,pena,19,0
743,ebro,santa maria belsue,14,0
744,galicia costa,vilagudin,18,0
