id,scope,name,capacity,electric_flag,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report,real_name
61,guadalquivir,canales,71,0,37.1604689060001,-3.48047606499995,guadalquivir,rio  genil,,,https://www.wikidata.org/wiki/Q1032728,granada,andalucia,presa materiales sueltos zonificada o nucleo,426.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1520,Canales
65,guadalquivir,quentar,14,0,37.2032970490001,-3.43802682299997,guadalquivir,rio aguas blancas,,,https://www.wikidata.org/wiki/Q5369453,granada,andalucia,presa fabrica boveda,426.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1523,Quéntar
69,tinto. odiel y piedras,piedras,60,0,37.366812629,-7.26645658799993,tinto  odiel y piedras,rio piedras,,,,huelva,andalucia,presa materiales sueltos pantalla hormigon,10.34,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1296,Paso de las Piedras
70,tinto. odiel y piedras,sancho,58,0,37.4610614040001,-6.98278512099995,tinto  odiel y piedras,rivera meca,,,,huelva,andalucia,presa fabrica gravedad (hormigon vibrado),10.34,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1263,Sancho
71,mino   sil,chandreja,61,1,42.26297501,-7.38654057899993,mino sil,rio navea,,,https://www.wikidata.org/wiki/Q101897658,orense,galicia,presa fabrica contrafuertes,911.5,85.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=110,Chandreja
72,mino   sil,frieira,44,1,42.1557461190001,-8.19287681099996,mino sil,rio mino,,,,orense,galicia,presa fabrica gravedad (hormigon vibrado),90.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=168,A Frieira
74,mino   sil,velle,17,1,42.357859342,-7.85142526699997,mino sil,rio mino,,,,orense,galicia,presa fabrica gravedad (hormigon vibrado),110.4,27.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=122,Velle
75,duero,burgomillodo,15,1,41.337311189,-3.88541240699993,duero,rio duraton,https://www.google.com/search?kgmid=/g/121_4pt5,https://www.openstreetmap.org/relation/4116775,https://www.wikidata.org/wiki/Q5830416,segovia,castilla y leon,presa fabrica gravedad (hormigon vibrado),955.22,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=406,Burgomillodo
77,duero,cuerda pozo,249,0,41.875818591,-2.70401966899993,duero,rio duero,https://www.google.com/search?kgmid=/g/1226m0sv,https://www.openstreetmap.org/relation/2007522,https://www.wikidata.org/wiki/Q8775316,soria,castilla y leon,presa fabrica gravedad (hormigon vibrado),1233.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=438,Cuerda del Pozo
78,duero,iruena,110,0,40.4443173830001,-6.57938884699996,duero,rio agueda,https://www.google.com/search?kgmid=/g/123608pg,,https://www.wikidata.org/wiki/Q8775343,salamanca,castilla y leon,presa fabrica arco gravedad,777.5,75.45,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=384,Iruena
80,tajo,banos montemayor,41,0,40.281682582,-5.89538451999994,tajo,rio banos,,,https://www.wikidata.org/wiki/Q24174597,caceres,extremadura,presa materiales sueltos zonificada o nucleo,372.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=566,Baños
89,ebro,gonzalez lacasa,33,0,42.1737805980001,-2.67275261299994,ebro,arroyo albercos,https://www.google.com/search?kgmid=/g/120_4jdm,,https://www.wikidata.org/wiki/Q5830377,la rioja,rioja,presa mixta,996.5,70.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2688,González-Lacasa
