code,name,reservoir,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
3100012,rivera gata,rivera gata,40.134844602,-6.63285012399996,tajo,rivera gata,,,,caceres,extremadura,presa materiales sueltos zonificada o nucleo,345.5,56.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=546
9440009,santolea,santolea reservoir,40.772565747,-0.31769404299996,ebro,rio guadalope,,,https://www.wikidata.org/wiki/Q23992526,teruel,aragon,presa fabrica gravedad (hormigon vibrado),584.35,50.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2802
8120002,sichar,sichar,40.0100628180001,-0.231145701999935,jucar,riu mijares,,,,castello castellon,comunitat valenciana,presa fabrica gravedad (hormigon vibrado),167.5,58.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2258
3280003,riosequillo,riosequillo reservoir,40.9846013600001,-3.64825393599995,tajo,rio lozoya,https://www.google.com/search?kgmid=/g/12221s57,,https://www.wikidata.org/wiki/Q2834413,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=782
4130018,penarroya,penarroya dam,39.0603072490001,-3.00679625799995,guadiana,rio guadiana,https://www.google.com/search?kgmid=/g/11fv3ymg__,,https://www.wikidata.org/wiki/Q97172835,ciudad real,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1106
3190011,belena,belena,40.9338651420001,-3.19600748099998,tajo,rio sorbe,,,,guadalajara,castilla   mancha,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=747
3280031,puentes viejas,puentes viejas reservoir,40.9931510110001,-3.57146299099998,tajo,rio lozoya,https://www.google.com/search?kgmid=/g/1217c8ps,,https://www.wikidata.org/wiki/Q8775374,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),955.22,66.2199999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=808
3100021,valdeobispo,valdeobispo,40.099036471,-6.25053019799998,tajo,rio alagon,,,,caceres,extremadura,presa fabrica gravedad (hormigon vibrado),312.0,57.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=555
5230002,bolera,bolera,37.7622489710001,-2.90313354799997,guadalquivir,rio  guadalentin,,,,jaen,andalucia,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1538
6180001,beznar,embalse beznar,36.9152042690001,-3.54016190699997,cuencas mediterraneas andaluzas,rio izbor,,,https://www.wikidata.org/wiki/Q3374703,granada,andalucia,presa fabrica boveda,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1950
9440007,calanda,calanda,40.9154746140001,-0.211212751999938,ebro,rio guadalope,,,,teruel,aragon,presa materiales sueltos zonificada o nucleo,443.5,63.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2800
2400015,linares arroyo,linares arroyo,41.527351971,-3.55592977299995,duero,rio riaza,,,,segovia,castilla y leon,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=420
3190032,vado,vado reservoir,41.0034892630001,-3.30090199199998,tajo,rio jarama,https://www.google.com/search?kgmid=/g/121y9t2q,,https://www.wikidata.org/wiki/Q8775322,guadalajara,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=767
3190029,vado,vado reservoir,41.002339229,-3.29625935399997,tajo,rio jarama,https://www.google.com/search?kgmid=/g/121y9t2q,,https://www.wikidata.org/wiki/Q8775322,guadalajara,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=764
5410085,minilla,minilla,37.664790501,-6.18562063899998,guadalquivir,rivera huelva,,,,sevilla,andalucia,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1728
5180022,francisco abellan,embalse francisco abellan,37.3127246610001,-3.25361574599998,guadalquivir,rio  fardes,,,https://www.wikidata.org/wiki/Q5369442,granada,andalucia,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1525
4210059,sancho,sancho,37.4610614040001,-6.98278512099995,tinto  odiel y piedras,rivera meca,,,,huelva,andalucia,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1263
3280010,pardo,pardo reservoir,40.5387773260001,-3.78893109799998,tajo,rio manzanares,https://www.google.com/search?kgmid=/g/121rjkdh,,https://www.wikidata.org/wiki/Q5830456,madrid,comunidad madrid,presa materiales sueltos homogenea,632.0,35.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=789
4210052,jarrama,jarrama,37.667643459,-6.50982948899997,tinto  odiel y piedras,rivera jarrama,,,,huelva,andalucia,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1256
9220049,montearagon,montearagon reservoir,42.18258301,-0.361405771999955,ebro,rio flumen,https://www.google.com/search?kgmid=/g/11hfgklglc,,https://www.wikidata.org/wiki/Q91314392,huesca,aragon,presa fabrica arco gravedad,585.0,86.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2464
1310003,anarbe,anarbe,43.21230153,-1.87524544699994,cantabrico oriental,anarbe ibaia o enobietaku erreka,,,,gipuzkoa guipuzcoa,pais vasco,presa fabrica arco gravedad,163.5,79.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=78
1310001,anarbe,anarbe,43.2126734980001,-1.87827944599996,cantabrico oriental,anarbe ibaia o enobietaku erreka,,,,gipuzkoa guipuzcoa,pais vasco,presa fabrica gravedad (hormigon vibrado),162.5,7.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=76
3450033,castrejon,castrejon reservoir,39.833565075,-4.29494820899993,tajo,rio tajo,,https://www.openstreetmap.org/relation/5824854,https://www.wikidata.org/wiki/Q19428713,toledo,castilla   mancha,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=888
9500029,laverne,laverne,42.0789372090001,-1.06992073099997,ebro,barranco parada,,,,zaragoza,aragon,presa materiales sueltos zonificada o nucleo,403.0,14.1,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2840
4130046,vega jabalon,vega jabalon,38.7610742730001,-3.78659975599993,guadiana,rio jabalon,,,,ciudad real,castilla   mancha,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1134
3450007,navalcan,navalcan,40.0482099480001,-5.14236058399996,tajo,rio guadyerbas,,,,toledo,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=864
5140036,cordobilla,cordobilla,37.3492563180001,-4.72116142999994,guadalquivir,rio  genil,,,,sevilla,andalucia,presa fabrica gravedad (hormigon vibrado),218.25,45.25,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1458
