real_name
"Embalse de la Fernandina, La Carolina, Jaén, Andalucía, España"
"Embalse de la Sotonera, Lupiñén-Ortilla, Hoya de Huesca, Huesca, Aragón, España"
"Embalse de Ordunte, Valle de Mena, Burgos, Castilla y León, España"
"Embalse de Cala, Castilblanco de los Arroyos, Sevilla, Andalucía, España"
"Embalse de Canales, Güéjar Sierra, Comarca de la Vega de Granada, Granada, Andalucía, España"
"Embalse de Quéntar, Quéntar, Comarca de la Vega de Granada, Granada, Andalucía, España"
"Embalse Paso de las Piedras, Cuartel VI, Partido de Tornquist, Buenos Aires, Argentina"
"Embalse del Sancho, Gibraleón, Comarca Metropolitana de Huelva, Huelva, Andalucía, España"
"Embalse de Chandrexa de Queixa, Chandrexa, Chandrexa de Queixa, Tierra de Trives, Orense, Galicia, España"
"Embalse de A Frieira, Filgueira, Crecente, Castrelo de Miño, Paradanta, Pontevedra, Galicia, España"
"Encoro de Velle, A Batundeira, Velle, Orense, Galicia, España"
"Embalse de Burgomillodo, Comunidad de Villa y Tierra de Sepúlveda, Carrascal del Río, Segovia, Castilla y León, España"
"Embalse de la Cuerda del Pozo, Vinuesa, Soria, Castilla y León, España"
"Iruena, Carretera de Echarri, Echarri, Muguiro, Larraun, Larraun-Leitzaldea, Navarra, 31870, España"
"Embalse de Baños, Baños de Montemayor, Cáceres, Extremadura, España"
"Embalse González-Lacasa, Ortigosa de Cameros, La Rioja, España"
"Embalse de Mansilla, Mansilla de la Sierra, La Rioja, España"
"Camino Embalse de Moneva, Moneva, Campo de Belchite, Zaragoza, Aragón, España"
"Embalse de Cecebre, Piadela, Betanzos, La Coruña, Galicia, España"
"Riudecanyes, Bajo Campo, Tarragona, Cataluña, 43771, España"
"Portodemouros, Vila de Cruces, Deza, Pontevedra, Galicia, 36599, España"
"Pantà de Boadella, Darnius, Alto Ampurdán, Gerona, Cataluña, España"
"Embalse de La Tranquera, Carenas, Comunidad de Calatayud, Zaragoza, Aragón, España"
"Embalse de Arenoso, Puebla de Arenoso, El Alto Mijares, Castellón, Comunidad Valenciana, España"
"Embalse de Sierra Boyera, Belmez, Córdoba, Andalucía, España"
"Embalse de Zufre, Zufre, Sierra de Huelva, Huelva, Andalucía, España"
"Embalse de Barbate, Alcalá de los Gazules, La Janda, Cádiz, Andalucía, España"
"Embalse del Aguijón, Jerez de los Caballeros, Sierra Suroeste, Badajoz, Extremadura, España"
"Embalse de Los Canchales, Mérida, Badajoz, Extremadura, España"
"Embalse de la Serena, Badajoz, Extremadura, España"
"Encoro de Albarellos, A Louseira, Albarellos, Boborás, O Carballiño, Orense, Galicia, España"
Edrada Mao
"Embalse de Aguilar, Aguilar de Campoo, Palencia, Castilla y León, 34800, España"
"Embalse de Aldeadávila, Aldeadávila de la Ribera, Salamanca, Castilla y León, España"
"Embalse de Camporredondo, Velilla del Río Carrión, Palencia, Castilla y León, España"
"Embalse del Castro de Las Cogotas, Ávila, Castilla y León, España"
"Embalse de Linares del Arroyo, Maderuelo, Segovia, Castilla y León, España"
"Embalse de Ricobayo, Santa Eufemia del Barco, Zamora, Castilla y León, España"
"Embalse de Navacerrada, Navacerrada, Comunidad de Madrid, España"
"Calle Embalse de Salor, Las Vaguadas, Badajoz, Tierra de Badajoz, Badajoz, Extremadura, 06010, España"
"Embalse de Anchuricas, La Toba, Santiago-Pontones, Jaén, Andalucía, España"
"Embassament de la Pedrera, els Saulons, Caldes de Montbui, Vallés Oriental, Barcelona, Cataluña, 08140, España"
"Embalse de Regajo, Cornago, La Rioja, España"
"Embalse de Camarasa, les Avellanes i Santa Linya, Noguera, Cataluña, España"
"Zona de Especial Protección para las Aves Embalse del Ebro, Valle de Valdebezana, Burgos, Castilla y León, 09570, España"
"Embalse de las Fitas, Villanueva de Sigena, Los Monegros, Huesca, Aragón, España"
"Embassament de Sallente, la Torre de Cabdella, Pallars Jussá, Cataluña, 25515, España"
Sistema Capdella
"Ullíbarri-Viña, Vitoria, Cuadrilla de Vitoria, Álava, País Vasco, España"
"Embalse de La Barca, Belmonte de Miranda, Asturias, España"
"Embalse de Fresneda I, Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, España"
"Club Náutico Guadalmena, JH-6351, Pantano del Guadalmena, Segura de la Sierra, Jaén, Andalucía, España"
"Embalse del Huesna, El Pedroso, Sevilla, Andalucía, España"
"Embalse de Puente Nuevo, Espiel, Córdoba, Andalucía, España"
"Embalse de Siles, Siles, Jaén, Andalucía, España"
"Embalse de Río Chíco, Varital, Tijeras, Boquerón, Chiriquí, Panamá"
"Embalse del Chanza, Mértola, Beja, Portugal"
"Embalse de Los Canchales, Mérida, Badajoz, Extremadura, España"
"Embalse de Peñarroya, Argamasilla de Alba, Ciudad Real, Castilla-La Mancha, España"
"Embalse de Campañana, Carucedo, El Bierzo, León, Castilla y León, España"
"Presa, Arrábida, Lordelo do Ouro, Lordelo do Ouro e Massarelos, Oporto, Portugal"
"Embalse de Úzquiza, Villasur de Herreros, Burgos, Castilla y León, España"
"Embalse de las Vencias, San Miguel de Bernuy, Segovia, Castilla y León, España"
"Guadiloba, Cáceres, Extremadura, España"
"Embalse de Jerte - Plasencia, Plasencia, Cáceres, Extremadura, España"
"Embalse de Rivera de Gata, Villasbuenas de Gata, Cáceres, Extremadura, España"
"Embalse de El Vado, Campillo de Ranas, Guadalajara, Castilla-La Mancha, España"
"Calle Embalse de Puentes, Polígono Industrial de La Hoya, Mendieta, Lorca, Alto Guadalentín, Región de Murcia, 30816, España"
"Embalse de la Fuensanta, Yeste, Albacete, Castilla-La Mancha, España"
"Embalse de Forata, Yátova, La Hoya de Buñol, Valencia, Comunidad Valenciana, España"
"Embalse de Canelles, Ribagorza, Pallars Jussá, Huesca, Aragón, España"
"Embalse de Eugi, Eugui, Esteribar, Comarca de Pamplona, Navarra, España"
"Embalse de Oliana, Coll de Nargó, Alto Urgel, Cataluña, España"
"Embalse de Montearagón, Chibluco, Loporzano, Hoya de Huesca, Huesca, Aragón, España"
"Embalse de Rioseco, La Polina, Rioseco, Sobrescobio, Asturias, España"
"Bolera, Mangochi, Región del Sur, Malaui"
"Embalse de Cubillas, Carretera de Sierra Nevada, Atarfe, Comarca de la Vega de Granada, Granada, Andalucía, 18290, España"
"Embalse de Béznar, Chite, Lecrín, Comarca del Valle de Lecrín, Granada, Andalucía, España"
"Embalse de Zahara, Zahara, Sierra de Cádiz, Cádiz, Andalucía, España"
"Embalse de El Vicario, Miguelturra, Ciudad Real, Castilla-La Mancha, España"
"Embalse de Cubilar, Logrosán, Cáceres, Extremadura, España"
"Embalse de ArroyoConejo, Berlanga, Badajoz, Extremadura, España"
"Embalse del Puerto de Vallehermoso, Alhambra, Ciudad Real, Castilla-La Mancha, España"
"Embalse de la Peña del Águila, Alburquerque, Tierra de Badajoz, Badajoz, Extremadura, España"
"Valdepatao, Candasnos, Bajo Cinca, Huesca, Aragón, España"
"Terroba, La Rioja, España"
"Embalse de San Anton - Endara, Endara, Lesaca, Baztan-Bidasoa, Navarra, España"
"Embalse de Aracena, Corteconcepción, Sierra de Huelva, Huelva, Andalucía, España"
"Embalse de Martin Gonzalo, Montoro, Córdoba, Andalucía, España"
"La Presa, Retortillo de Soria, Soria, Castilla y León, España"
"Embalse Torre del Águila, Utrera, Sevilla, Andalucía, España"
"Embalse de Almodóvar, Tarifa, Campo de Gibraltar, Cádiz, Andalucía, 11380, España"
"Embalse de El Limonero, Lagar de Luciano, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España"
"Embalse de Guadarranque, Castellar de la Frontera, Campo de Gibraltar, Cádiz, Andalucía, España"
"Embalse de Tentudía, Monesterio, Badajoz, Extremadura, España"
"Embalse de Belesar, Paradela, O Páramo, Sarria, Lugo, Galicia, España"
"Embalse de Almendra, Sardón de los Frailes, Salamanca, Castilla y León, España"
"Embalse de Ruesga, Ventanilla, Cervera de Pisuerga, Palencia, Castilla y León, España"
"Represa de San José de Uzuña, San Jose de Uzuña, Polobaya, Arequipa, Perú"
"Embalse de Bolarque, Buendía, Guadalajara, Castilla-La Mancha, España"
"Embalse de Buendía, Buendía, Guadalajara, Castilla-La Mancha, España"
"Embalse de Guijo de Granadilla, Guijo de Granadilla, Cáceres, Extremadura, España"
"Embalse de El Villar, Berzosa del Lozoya, Comunidad de Madrid, España"
"Calle del Embalse de Valmayor, Ensanche de Vallecas, Villa de Vallecas, Madrid, Comunidad de Madrid, 28051, España"
"Pantano de Irabia, Idaibea, Ochagavía, Pirineo, España"
"Paseo del Embalse, El Tozal, El Grado, Somontano de Barbastro, Huesca, Aragón, 22390, España"
"Embalse Río Hondo, Municipio de Monteagudo, Municipio de Río Chico y Nueva Trinidad, Departamento Simoca, Tucumán, T4172, Argentina"
"Embalse de Rialb, Bassella, Alto Urgel, Cataluña, España"
"Embalse de Santa Ana, Castillonroy / Castellonroi, Os de Balaguer, Noguera, Huesca, Cataluña, España"
"Camino de San Lorenzo, San Lorenzo, Luis Arcos Bergnes, Camajuaní, Villa Clara, 52500, Cuba"
"Embalse de Arbón, Boal, Asturias, España"
"Carretera de Zújar al Embalse del Negratín, Zújar, Partido Judicial de Baza, Granada, Andalucía, 18811, España"
"Calle Embalse del Víboras, Las Casillas, Martos, Jaén, Andalucía, España"
"Embalse, Concepcion, Municipio Yamparaez, Provincia Yamparaez, Chuquisaca, Bolivia"
"Embalse de Sierra Brava, Zorita, Cáceres, Extremadura, España"
"Embalse de Piedra Aguda, Olivenza, Llanos de Olivenza, Badajoz, Extremadura, España"
"Embalse del Jarrama, El Madroño, Cuenca Minera, Sevilla, Andalucía, España"
"Embalse de Salas, Requiás, Muíños, Baixa Limia, Orense, Galicia, España"
"Embalse de Puente Porto, Porto, Zamora, Castilla y León, España"
"Embalse de El Atazar, El Atazar, Comunidad de Madrid, España"
"Embalse de Alfonso XIII, Calasparra, Noroeste, Región de Murcia, España"
"Pantano de Crevillente, Crevillente, El Bajo Vinalopó, Alicante, Comunidad Valenciana, España"
"Embalse de Loriguilla, Loriguilla, El Campo de Turia, Valencia, Comunidad Valenciana, España"
"Embalse de Baserca, Montanuy, Vilaller, Alta Ribagorza, Huesca, Cataluña, 25553, España"
"Certascan Nord, Lladorre, Pallars Sobirá, Lérida, Cataluña, España"
"Ibon de Ip, Canfranc, La Jacetania, Huesca, Aragón, España"
"Encoro de Santa Uxía, Santa Uxía, O Ézaro, Dumbría, Mazaricos, Fisterra, La Coruña, Galicia, España"
"Presa de la Baells, Cercs, Berguedà, Barcelona, Cataluña, 08698, España"
"Ibai Eder, Barrenetxe auzoa, Urbitarte, Azpeitia, Urola Costa, Guipúzcoa, País Vasco, 20730, España"
"Embalse de Beninar, Alcolea, Almería, Andalucía, España"
"Embalse de Vadomojón, Luque, Córdoba, Andalucía, España"
"Embalse de Charco Redondo, Los Barrios, Campo de Gibraltar, Cádiz, Andalucía, España"
"Guadalcacín, Jerez de la Frontera, Campiña de Jerez, Cádiz, Andalucía, 11591, España"
"Embalse del Cancho del Fresno, Cañamero, Cáceres, Extremadura, España"
"Embalse del Ruecas, Logrosán, Cáceres, Extremadura, España"
"Embalse de Sierra Brava, Zorita, Cáceres, Extremadura, España"
"Presa de Villalba de los Barros, Villalba de los Barros, Tierra de Barros, Badajoz, Extremadura, España"
"Embalse de Peñarrubia, Covas, Rubiá, Valdeorras, Orense, Galicia, España"
"Embalse de las Rozas, San Miguel de Laciana, Villablino, León, Castilla y León, España"
"Embalse de Nuestra Señora de Agavanzal, Rionegro del Puente, Zamora, Castilla y León, España"
"Carretera de la Presa del Pontón Alto, Palazuelos de Eresma, Segovia, Castilla y León, 40194, España"
"Embalse de Alcántara, Acehúche, Cáceres, Extremadura, España"
"Embalse de Santillana, Manzanares el Real, Comunidad de Madrid, España"
"Embalse de San Juan, San Martín de Valdeiglesias, Ávila, Comunidad de Madrid, España"
"Embalse de Buseo, Chera, La Plana de Utiel-Requena, Valencia, Comunidad Valenciana, España"
Sistema Aguas Limpias
"Embalse de Santolea, Castellote, Maestrazgo, Aragón, España"
"Pico de Urdiceto o de las Tres Huegas, Sobrarbe, Huesca, Aragón, España"
"Peñas Forcadas, Allande, Asturias, España"
"Embalse del Bembézar, Hornachuelos, Córdoba, Andalucía, España"
"Embalse de José Torán, La Puebla de los Infantes, Sevilla, Andalucía, España"
"Embalse de Alange, Alange, Tierra de Barros, Badajoz, Extremadura, España"
"Embalse de Los Hurones, Ubrique, Sierra de Cádiz, Cádiz, Andalucía, España"
"Embalse de los Millares, Sanlúcar de Guadiana, El Andévalo, Huelva, Andalucía, España"
"Calle Embalse de García Sola, Las Vaguadas, Badajoz, Tierra de Badajoz, Badajoz, Extremadura, 06010, España"
"Embalse de Valuengo, Jerez de los Caballeros, Sierra Suroeste, Badajoz, Extremadura, España"
"Presa das Guístolas, As Guístolas, Cerdeira, A Pobra de Trives, San Xoán de Río, Tierra de Trives, Orense, Galicia, 32394, España"
"Embalse de San Martín, Petín, Valdeorras, Orense, Galicia, España"
"Embalse de Vadiello, Santa Eulalia la Mayor, Loporzano, Hoya de Huesca, Huesca, Aragón, España"
"Embalse de Villameca, Quintana del Castillo, León, Castilla y León, España"
"Embalse Finisterre, Turleque, Toledo, Castilla-La Mancha, España"
"Embalse de Pinilla, Lozoya, Comunidad de Madrid, España"
"Embalse de Santomera, Santomera, Área Metropolitana de Murcia, Región de Murcia, España"
"Ciurana, Guadassuar, La Ribera Alta, Valencia, Comunidad Valenciana, 46250, España"
"els Guiamets, Priorato, Tarragona, Cataluña, 43777, España"
"Embalse de la Loteta, Magallón, Campo de Borja, Zaragoza, Aragón, España"
"Embalse de Pajares, Lumbreras de Cameros, La Rioja, España"
"Embalse de Pena, Valderrobres, Matarraña, Aragón, España"
"Embalse de Vadiello, Santa Eulalia la Mayor, Loporzano, Hoya de Huesca, Huesca, Aragón, España"
"Embalse de la Cohilla, Tudanca, Cantabria, 39555, España"
"Embalse de Salime, Barcela, Negueira, Negueira de Muñiz, Fonsagrada, Lugo, Galicia, 27113, España"
"Embalse de Bermejales, Pantano de los Bermejales, Arenas del Rey, Partido Judicial de Loja, Granada, Andalucía, España"
"Breña II, Carretera de Córdoba a Lora del Río, Almodóvar del Río, Córdoba, Andalucía, 14720, España"
"Embalse de El Portillo, Castril, Partido Judicial de Huéscar, Granada, Andalucía, España"
"Embalse del Giribaile, Vilches, Jaén, Andalucía, España"
"Mirador del Pantano de Jándula, La Lancha, Andújar, Jaén, Andalucía, España"
"Embalse de San Clemente, Huéscar, Partido Judicial de Huéscar, Granada, Andalucía, España"
"Brovales, Jerez de los Caballeros, Sierra Suroeste, Badajoz, Extremadura, España"
"Embalse del Negratín, Cuevas del Campo, Comarca de Baza, Granada, Andalucía, España"
"Embalse de Bárcena, Cubillos del Sil, El Bierzo, León, Castilla y León, España"
"122, Poblacion, Paoay, Ilocos Norte, Región de Ilocos, 2902, Filipinas"
"Embalse de Arlanzón, Villasur de Herreros, Burgos, Castilla y León, España"
"Embalse del Castro de Las Cogotas, Ávila, Castilla y León, España"
"Embalse de Atance, Sigüenza, Guadalajara, Castilla-La Mancha, España"
"Embalse del Molino de la Chincha, Puente de Vadillos, Cañizares, Castilla-La Mancha, España"
"Embalse de Picadas, San Juan, Navas del Rey, Comunidad de Madrid, España"
"Embalse de La Portiña, Talavera de la Reina, Toledo, Castilla-La Mancha, España"
"Embalse de la toma del Canal del Taibilla, Nerpio, Albacete, Castilla-La Mancha, España"
"Embalse de Lanuza, Sallent de Gállego, Alto Gállego, Huesca, Aragón, España"
"Embalse de Llauset, Montanuy, Ribagorza, Huesca, Aragón, España"
"Embalse de Itoiz, Nagore, Arce, Prepirineo, Navarra, España"
"Embalse de Mequinenza, Caspe, Bajo Aragón-Caspe, Zaragoza, Aragón, España"
Alsa Mediajo
"Presa de Añarbe, Rentería, Goizueta, Larraun-Leitzaldea, Guipúzcoa, País Vasco, España"
"Embalse de Yesa, Undués de Lerda, Cinco Villas, Zaragoza, Aragón, España"
"Eth sistèma carstic deth Joeu, Pista dera Artiga de Lin (accés restringit per horari), Era Artiga de Lin, Viella Mitg Arán, Valle de Arán, Cataluña, 25537, España"
"Urculu, Orbaiceta, Pirineo, España"
"Ibiur, Orendáin, Guipúzcoa, País Vasco, 20269, España"
"Presa de Montefurado, Estrada A Pobra de Trives - Montefurado, Os Covallos, Montefurado, Quiroga, Lugo, Galicia, 27390, España"
"Embalse de Águeda, Pastores, Salamanca, Castilla y León, 37591, España"
"Embalse de Cernadilla, Asturianos, Zamora, Castilla y León, España"
"Embalse de Azután, Calera y Chozas, Toledo, Castilla-La Mancha, España"
"Embalse de Albina, Olaeta, Villarreal de Álava, Aramayona, Estribaciones del Gorbea, Álava, País Vasco, 01170, España"
"Embalse de Búbal, Tramacastilla de Tena, Sallent de Gállego, Alto Gállego, Huesca, Aragón, España"
"Presa de Cal Grande, Soaserra, Cabanas, Eume, La Coruña, Galicia, 15616, España"
"Bassa de Sant Ponç, les Forques, Montclar, Berguedà, Barcelona, Cataluña, España"
"Embalse de Terradets, Llimiana, Pallars Jussá, Cataluña, España"
"Embalse de Francisco Abellán, La Peza, Comarca de Guadix, Granada, Andalucía, España"
"Embalse de los Melonares, Castilblanco de los Arroyos, Sevilla, Andalucía, España"
"Rumblar, Baños de la Encina, Jaén, Andalucía, España"
"Embalse de San Rafael de Navallana, Obejo, Córdoba, Andalucía, España"
"Presa Conde de Guadalhorce, MA-9006, Pantano del Chorro, Ardales, Guadalteba, Málaga, Andalucía, España"
"Embalse de las Conchas, Santa Comba, Bande, Muíños, Baixa Limia, Orense, Galicia, 32897, España"
"Encoro de Sequeiros, Piñeira, Quiroga, Ribas de Sil, Quiroga, Lugo, Galicia, España"
"Embalse de Los Barrios de Luna, Los Barrios de Luna, León, Castilla y León, España"
"Embalse de los Rábanos, Soria, Castilla y León, España"
"Embalse de Pálmaces, Pálmaces de Jadraque, Guadalajara, Castilla-La Mancha, España"
"Calle La Presa, Rosarito, Municipio de Playas de Rosarito, Baja California, 22715, México"
"Embalse de Valdecañas, Bohonal de Ibor, Cáceres, Extremadura, España"
"Embalse de Camarillas, Hellín, Albacete, Castilla-La Mancha, España"
"Presa del embalse de La Cierva, Mula, Río Mula, Región de Murcia, España"
"Calle Embalse de Argos, Mendieta, Lorca, Alto Guadalentín, Región de Murcia, 30815, España"
"Embalse de San Bartolomé, Biota, Cinco Villas, Zaragoza, Aragón, España"
Sistema Alto Caldares
"Embalse de Sobrón, Sobrón, Valle de Tobalina, Lantarón, Cuadrilla de Añana, Burgos, Castilla y León, España"
"Embalse de Los Alfilorios, Alfilorio de Abajo, Morcín, Asturias, España"
"Embalse de Martin Gonzalo, Montoro, Córdoba, Andalucía, España"
"Embalse de El Pintado, Fuente del Arco, Badajoz, Extremadura, 06980, España"
"Embalse del Quiebrajano, Valdepeñas de Jaén, Jaén, Andalucía, España"
"Embalse de Tranco de Beas, Hornos, Jaén, Andalucía, España"
"Vega del Jabalón, Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, España"
"Embalse del Corumbel bajo, La Palma del Condado, El Condado, Huelva, Andalucía, España"
"Embalse de los Machos, Cartaya, Costa Occidental, Huelva, Andalucía, España"
"Embalse de Sotiel, Almonaster la Real, Sierra de Huelva, Huelva, Andalucía, España"
"Casares de Arbás, Villamanín, León, Castilla y León, 24687, España"
"Serones, Santa María del Cubillo, Ávila, Castilla y León, España"
"Embalse de la Aceña, Peguerinos, Ávila, Castilla y León, España"
"Embalse de Beleña, Tamajón, Guadalajara, Castilla-La Mancha, España"
"Embalse del Castro de Las Cogotas, Ávila, Castilla y León, España"
"Embalse de Navamuño, Candelario, Salamanca, Castilla y León, España"
"Embalse Pedrezuela o del Vellón, Pedrezuela, Comunidad de Madrid, España"
"Embalse de Valdeinfierno, Lorca, Alto Guadalentín, Región de Murcia, España"
"Embalse de Benagéber, Tuéjar, La Serranía, Valencia, Comunidad Valenciana, España"
"Embalse de Beniarrés, Planes, El Condado de Cocentaina, Alicante, Comunidad Valenciana, España"
"Embalse de El Naranjero, Cortes de Pallás, El Valle de Cofrentes-Ayora, Valencia, Comunidad Valenciana, España"
"Embalse de La Muela, Cortes de Pallás, El Valle de Cofrentes-Ayora, Valencia, Comunidad Valenciana, España"
"Presa del embalse de La Toba, Uña, Castilla-La Mancha, España"
"Embalse de Sichar, Onda, Plana Baja, Castellón, Comunidad Valenciana, España"
"Embalse de María Cristina, Alcora, l'Alcalatén, Castellón, Comunidad Valenciana, España"
"Embalse de Escales, Bonansa, Pont de Suert, Alta Ribagorza, Huesca, Cataluña, España"
"Embalse de Enciso, Yanguas, Soria, Castilla y León, España"
"Embalse de Itoiz, Nagore, Arce, Prepirineo, Navarra, España"
"Embalse de A Fervenza, Zas, Mazaricos, Xallas, La Coruña, Galicia, España"
"Presa de La Ribeira, Galende, Zamora, Castilla y León, 49350, España"
"Presa de Sau, Les Cases dels Enginyers, Sant Romà de Sau, Vilanova de Sau, Osona, Barcelona, Cataluña, 08519, España"
"Cristo de Riocobo, O Burgo, Oirán, Mondoñedo, Mariña Central, Lugo, Galicia, 27749, España"
"Presa de la Amistad, Condado de Val Verde, Texas, Estados Unidos de América"
"Embalse de Tanes, Caso, Asturias, España"
"Embalse de Aguascebas, Villacarrillo, Jaén, Andalucía, España"
"Embalse del Guadalén, Arquillos, Jaén, Andalucía, España"
"Embalse del Guadalhorce-Guadalteba, Antequera, Málaga, Andalucía, España"
"Embalse de Cuevas del Almanzora, Huércal-Overa, Almería, Andalucía, España"
"Presa de Celemín, Benalup-Casas Viejas, La Janda, Cádiz, Andalucía, España"
"Embalse del Gargáligas, Puebla de Alcocer, Badajoz, Extremadura, España"
"Embalse de los Molinos del Matachel, Llera, Tierra de Barros, Badajoz, Extremadura, España"
"Estrada dos Peares-Pombeiro, Os Carballos, O Torrón, Pombeiro, Pantón, Tierra de Lemos, Lugo, Galicia, 32440, España"
"Embalse de San Pedro, Fuente Obejuna, Córdoba, Andalucía, España"
"Presa de Villalcampo, Salto de Villalcampo, Villalcampo, Zamora, Castilla y León, España"
"Embalse de Gabriel y Galán, Zarza de Granadilla, Cáceres, Extremadura, España"
"Embalse de La Jarosa, Guadarrama, Comunidad de Madrid, España"
"Embalse de El Pardo, Fuencarral-El Pardo, Madrid, Comunidad de Madrid, España"
"Embalse del Atazar, Cervera de Buitrago, Comunidad de Madrid, España"
Torrejon (tajo Tietar)
"Embalse de la Rambla de Algeciras, Librilla, Bajo Guadalentín, Región de Murcia, España"
"Embalse del Arquillo de San Blas, Teruel, Comunidad de Teruel, Aragón, España"
"Embalse de Escalona, Navarrés, La Canal de Navarrés, Valencia, Comunidad Valenciana, España"
"Embalse de Alloz, Allotz / Alloz, Valle de Yerri, Tierra Estella, Navarra, España"
"Embalse de Mequinenza, Caspe, Bajo Aragón-Caspe, Zaragoza, Aragón, España"
"Presa cañón de Santolea, Castellote, Maestrazgo, Aragón, España"
"Presa Las Cañadas, Villa Insurgentes (El Calabazal), Sombrerete, Zacatecas, 99109, México"
"Embalse de Urrúnaga, Villarreal de Álava, Estribaciones del Gorbea, Álava, País Vasco, España"
"Presa del Pantà de Llosa de Cavall, Navès, Solsonés, Cataluña, 25286, España"
Sistema Escarra
"Embalse de las Torcas, Tosos, Campo de Cariñena, Zaragoza, Aragón, España"
"Embalse de Doiras, Illano, Asturias, España"
"Calle Agrio, Altavista, León, Guanajuato, 37209, México"
"Embalse de Iznájar, Iznájar, Partido Judicial de Loja, Córdoba, Andalucía, España"
"Embalse de Arcos, Arcos de la Frontera, Sierra de Cádiz, Cádiz, Andalucía, España"
"Embalse de Bornos, Bornos, Sierra de Cádiz, Cádiz, Andalucía, España"
"Embalse de Horno Tejero, Cordobilla de Lácara, Badajoz, Extremadura, España"
"Calle Ortega y Gasset, Ibarruri - La Esperanza, Plasencia, Cáceres, Extremadura, 10600, España"
"Embalse de Orellana, Puebla de Alcocer, Badajoz, Extremadura, España"
"El embalse de Torre de Abraham, Retuerta del Bullaque, Ciudad Real, Castilla-La Mancha, España"
"Embalse de Matalavilla, Páramo del Sil, El Bierzo, León, Castilla y León, España"
"Bassa de Prada, Cabó, Alto Urgel, Cataluña, 25794, España"
"Embalse de Riaño, Riaño, León, Castilla y León, 24900, España"
"Embalse de Alange, Alange, Tierra de Barros, Badajoz, Extremadura, España"
"Embalse de Valparaíso, Villardeciervos, Zamora, Castilla y León, España"
"Embalse de Alcorlo, La Toba, Guadalajara, Castilla-La Mancha, España"
"Embalse Navalcan, Oropesa, Toledo, Castilla-La Mancha, España"
"Embalse de la Tajera, Torremocha del Campo, Guadalajara, Castilla-La Mancha, España"
"Embalse de Alarcón, Valverde de Júcar, Castilla-La Mancha, España"
"Canal de la Estanca, Alcañiz, Bajo Aragón, Aragón, España"
"Embalse de Maidevera, Aranda de Moncayo, Aranda, Zaragoza, Aragón, España"
"presa de Susqueda, Osor, la Selva, Gerona, Cataluña, España"
"Embalse de Barrié de la Maza, Presa de Barrié de la Maza, Liñaio, Negreira, Brión, Barcala, La Coruña, Galicia, España"
"Água de Coimbra, Rua do Pinhal, Torres do Mondego, Coímbra, 3030-195, Portugal"
"Carretera de Tremp a Tendrui, Talarn, Pallars Jussá, Cataluña, 25630, España"
"Embalse de Colomera, Colomera, Comarca de Los Montes, Granada, Andalucía, España"
"Embalse del Gergal, Guillena, Sevilla, Andalucía, España"
"Embalse de la Minilla, El Castillo de las Guardas, Sevilla, Andalucía, España"
